device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,norm2,NORM,719,4096,1,1,19.985548410501192,0.0005760614195200001,507486535.68,42408345.6,22617784.32,1192734.72,2356019.2,0
GPU,score,MATMUL,719,719,128,32,57.263372307692315,0.00286463565856,1288540032.0,164221900.79999998,720882974.72,13399629.120000001,677591121.92,0
GPU,softmax,SOFTMAX,719,719,1,32,78.38240628948478,0.0021616414038400002,1900431349.76,158810419.2,84698890.24,4466543.04,13234201.6,0
GPU,context,MATMUL,719,128,719,32,57.263372307692315,0.00278694592544,1288540032.0,121813555.19999999,685601587.2,13399629.120000001,677591121.92,0
GPU,comm_x2g,X2G,719,8192,1,1,39.26698666666667,0.0001225129984,0,0,0,0,0,122512998.4
GPU,qkv,FC,646,12288,4096,1,293.09715692307697,0.032568836095999996,3498998497.2799997,1575734476.8,10505410314.24,6584134533.120001,10404558274.56,0
GPU,proj,FC,646,4096,4096,1,97.69905230769231,0.01109307949056,1267657605.12,660720844.8,3501803438.08,2194711511.04,3468186091.52,0
GPU,comm_g2g,G2G,646,4096,1,1,0.0,5.50371328e-05,0,0,0,0,0,55037132.800000004
GPU,norm1,NORM,646,4096,1,1,18.653928057279234,0.00051757395968,455961477.12,38102630.4,20321402.88,1071636.48,2116812.8,0
GPU,ff1,FC,646,10922.666666666666,4096,1,238.19959419780218,0.02933545893888,3127108348.586666,1766889881.6000001,9340400435.199999,5852564029.440001,9248496244.053333,0
GPU,ff2,FC,646,10922.666666666666,4096,1,238.19959419780218,0.02933545893888,3127108348.586666,1766889881.6000001,9340400435.199999,5852564029.440001,9248496244.053333,0
GPU,glu,ACT,646,10922.666666666666,1,1,27.477858461538467,0.00138471309312,1215897272.32,101607014.39999999,54190407.68,2857697.2800000003,10160701.44,0
GPU,ff3,FC,646,4096,10922.666666666666,1,260.53080615384613,0.02929577558016,3127108348.586666,1740754124.8,9326852833.28,5852564029.440001,9248496244.053333,0
GPU,norm2,NORM,646,4096,1,1,18.653928057279234,0.00051757395968,455961477.12,38102630.4,20321402.88,1071636.48,2116812.8,0
GPU,score,MATMUL,646,646,128,32,46.22577230769231,0.0023587789734400002,1071034511.36,140304998.4,589638205.44,10816830.72,546984427.52,0
GPU,softmax,SOFTMAX,646,646,1,32,63.27408114558474,0.00174498181504,1534120386.56,128199475.19999999,68373053.44,3605610.24,10683289.6,0
GPU,context,MATMUL,646,128,646,32,46.22577230769231,0.0022890299916800004,1071034511.36,102202368.0,557991854.08,10816830.72,546984427.52,0
GPU,comm_x2g,X2G,646,8192,1,1,35.280213333333336,0.0001100742656,0,0,0,0,0,110074265.60000001
GPU,qkv,FC,3420,12288,4096,1,1379.2807384615385,0.16065965850624,7718877265.92,7777891123.2,55222751723.520004,34857182822.4,55082955571.200005,0
GPU,proj,FC,3420,4096,4096,1,501.5566321678322,0.05321701982208,2572959088.64,2256430694.4,18407583907.84,11619060940.800001,18360985190.4,0
GPU,comm_g2g,G2G,3420,4096,1,1,0.0,0.000291373056,0,0,0,0,0,291373056.0
GPU,norm1,NORM,3420,4096,1,1,69.2555014797136,0.0027400974336,2413913702.4,201719808.0,107583897.60000001,5673369.600000001,11206656.0,0
GPU,ff1,FC,3420,10922.666666666666,4096,1,1268.3041273209549,0.14136516804608,6324798969.173332,5994735206.4,49098844187.30666,30984162508.800003,48962627174.4,0
GPU,ff2,FC,3420,10922.666666666666,4096,1,1268.3041273209549,0.14136516804608,6324798969.173332,5994735206.4,49098844187.30666,30984162508.800003,48962627174.4,0
GPU,glu,ACT,3420,10922.666666666666,1,1,145.47101538461538,0.007330834022400001,6437103206.4,537919488.0,286890393.6,15128985.600000001,53791948.800000004,0
GPU,ff3,FC,3420,4096,10922.666666666666,1,1337.4843524475523,0.14039915429888,5520161068.373333,5905081958.4,49027121588.90666,30984162508.800003,48962627174.4,0
GPU,norm2,NORM,3420,4096,1,1,69.2555014797136,0.0027400974336,2413913702.4,201719808.0,107583897.60000001,5673369.600000001,11206656.0,0
GPU,score,MATMUL,3420,3420,128,32,1295.601230769231,0.058660921267199996,23108194713.6,3612045312.0,16306805145.6,303170688.0,15330705408.0,0
GPU,softmax,SOFTMAX,3420,3420,1,32,1773.4258037343816,0.048907794816,42997837824.0,3593134080.0,1916338176.0,101056896.0,299427840.0,0
GPU,context,MATMUL,3420,128,3420,32,1295.601230769231,0.0564520893696,23108194713.6,2334486528.0,15375532032.0,303170688.0,15330705408.0,0
PIM,score,MATMUL,3420,3420,128,32,3837.36306099996,0.133492268032,118161562624.00002,0,0,0,15330705408.0,0
PIM,softmax,SOFTMAX,3420,3420,1,32,558.3007159904535,0.00030451811327999995,5090273.279999999,0,0,0,299427840.0,0
GPU,comm_x2g,X2G,3420,8192,1,1,186.77759999999998,0.000582746112,0,0,0,0,0,582746112.0
GPU,comm_x2g,X2G,3420,4096,1,1,93.38879999999999,0.000291373056,0,0,0,0,0,291373056.0
GPU,proj,FC,595,4096,4096,1,89.98596923076924,0.010322635653120001,1243659632.6399999,627631718.4,3235517562.88,2021444812.8000002,3194381926.4,0
GPU,comm_g2g,G2G,595,4096,1,1,0.0,5.0692096e-05,0,0,0,0,0,50692096.0
GPU,norm1,NORM,595,4096,1,1,17.72361794749403,0.00047671285760000003,419964518.4,35094528.0,18717081.6,987033.6000000001,1949696.0,0
GPU,ff1,FC,595,10922.666666666666,4096,1,214.29216858676205,0.02723006840832,3083112065.7066665,1607958528.0,8630126510.079998,5390519500.8,8518351803.733333,0
GPU,ff2,FC,595,10922.666666666666,4096,1,214.29216858676205,0.02723006840832,3083112065.7066665,1607958528.0,8630126510.079998,5390519500.8,8518351803.733333,0
GPU,glu,ACT,595,10922.666666666666,1,1,25.30855384615385,0.0012753936383999996,1119905382.3999999,93585408.0,49912217.6,2632089.6,9358540.8,0
