case_id,variant,layer,operation,bytes,standalone_us,energy_J
Fugue-asplos-EPIC-shared-readers-B1,F2,13,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,13,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,13,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,14,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,14,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,14,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,14,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,15,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,15,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,15,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,15,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,16,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,16,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,16,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,16,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,17,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,17,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,17,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,17,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,18,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,18,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,18,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,18,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,19,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,19,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,19,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,19,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,20,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,20,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,20,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,20,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,21,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,21,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,21,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,21,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,22,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,22,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,22,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,22,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,23,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,23,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,23,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,23,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,24,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,24,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,24,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,24,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,25,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,25,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,25,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,25,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,26,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,26,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,26,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,26,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,27,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
Fugue-asplos-EPIC-shared-readers-B1,F2,27,KV_export,131645440,438.8181333333334,0.0013691125759999999
Fugue-asplos-EPIC-shared-readers-B1,F2,27,Q_input,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,27,O_return,0,0.0,0.0
Fugue-asplos-EPIC-shared-readers-B1,F2,28,untouched_KV_readback,128565248,428.5508266666667,0.0013370785792
