request_id,variant,layer,attention_device,query_tokens,elapsed_s,energy_J,attention_service_s,common_GPU_s,selector_V_transfer_s,KV_stored_private_tokens
Fugue-asplos-request-01,F3,7,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,8,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,9,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,10,GPU,595,0.002002872476709657,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,11,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,12,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,13,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,14,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,15,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,16,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,17,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,18,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,19,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,20,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,21,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,22,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,23,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,24,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,25,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,26,GPU,595,0.0020028724767096537,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,27,GPU,595,0.0020028724767096606,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,28,GPU,595,0.0020028724767096606,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,29,GPU,595,0.0020028724767096606,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,30,GPU,595,0.0020028724767096606,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F3,31,GPU,595,0.0020028724767096606,0.15527515744384,0.0009136258882565327,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,0,GPU,3420,0.01040354026133572,0.8150034952857601,0.004364628265272844,0.006038911996062875,0.0,3420
Fugue-asplos-request-01,F4,1,GPU,595,0.0030497176541455593,0.28590765860992007,0.000759343221589866,0.0021985694192223583,9.180501333333333e-05,3420
Fugue-asplos-request-01,F4,2,PIM,595,0.0019216450380362647,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,3,PIM,595,0.001921645038036256,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,4,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,5,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,6,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,7,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,8,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,9,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,10,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
Fugue-asplos-request-01,F4,11,PIM,595,0.0019216450380362578,0.14831591387392,0.0008323984495831352,0.0010892465884531277,0.0,595
