model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,F0_E2E_ms,decode_steps,decode_total_ms,output_tokens,batch,valid,displayed
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,137.97199309547378,22.50746403259523,475.58395358440225,5649.454564410612,15,337.61196048892845,16,4,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,201.41641034438572,10.930238427358866,365.3699867547687,5649.454564410612,15,163.953576410383,16,4,true,true
GPT-13B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,61.97443604602457,10.619549206025534,221.26767413640758,5649.454564410612,15,159.293238090383,16,4,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,6929.042001915713,30.59106435050814,7387.907967173335,7387.907967173335,15,458.8659652576221,16,4,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,140.14428533639608,30.59106435050814,599.0102505940182,7387.907967173335,15,458.8659652576221,16,4,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,186.05126898530807,19.00694109651441,471.1553854330242,7387.907967173335,15,285.10411644771614,16,4,true,true
LLAMA-65B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,108.7851678826191,19.36320601384774,399.2332580903352,7387.907967173335,15,290.4480902077161,16,4,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,7781.071816500439,30.36557553926217,8236.555449589372,8236.555449589372,15,455.48363308893255,16,4,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,157.76153366833566,30.36557553926217,613.2451667572682,8236.555449589372,15,455.48363308893255,16,4,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,222.54701434746525,21.917518639678963,551.3097939426497,8236.555449589372,15,328.76277959518444,16,4,true,true
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,106.84785118957187,21.4165761202123,428.0964929927564,8236.555449589372,15,321.2486418031845,16,4,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,7079.232915958851,26.525332572176893,7477.112904541504,7477.112904541504,15,397.87998858265337,16,4,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,131.84915538228793,26.525332572176893,529.7291439649413,7477.112904541504,15,397.87998858265337,16,4,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,179.4324683189719,17.852024330249616,447.2128332727161,7477.112904541504,15,267.78036495374425,16,4,true,true
MT-76B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,96.21056265520103,18.120042218249615,368.01119592894526,7477.112904541504,15,271.8006332737442,16,4,true,true
LLAMA-7B,KVChime-CB-musique-0075,F0,1230.9322482059163,10.532187679133196,1557.4300662590454,1557.4300662590454,31,326.4978180531291,32,1,true,true
LLAMA-7B,KVChime-CB-musique-0075,F1,253.3356514695107,10.532187679133196,579.8334695226398,1557.4300662590454,31,326.4978180531291,32,1,true,true
LLAMA-7B,KVChime-CB-musique-0075,F2,253.3356514695107,5.846305484343092,434.57112148414654,1557.4300662590454,31,181.23547001463584,32,1,true,true
LLAMA-7B,KVChime-CB-musique-0075,F4,253.3356514695107,5.915825629181804,436.72624597414665,1557.4300662590454,31,183.39059450463594,32,1,true,true
GPT-13B,KVChime-CB-musique-0075,F0,1836.635079569719,16.205241430795734,2338.9975639243867,2338.9975639243867,31,502.36248435466774,32,1,true,true
GPT-13B,KVChime-CB-musique-0075,F1,364.9439985576333,16.205241430795734,867.306482912301,2338.9975639243867,31,502.36248435466774,32,1,true,true
GPT-13B,KVChime-CB-musique-0075,F2,364.9439985576333,10.352846347769518,685.8822353384883,2338.9975639243867,31,320.93823678085505,32,1,true,true
GPT-13B,KVChime-CB-musique-0075,F4,364.9439985576333,10.44293516589855,688.6749887004883,2338.9975639243867,31,323.73099014285503,32,1,true,true
LLAMA-65B,KVChime-CB-musique-0075,F0,3213.04561225016,29.855284361240805,4138.559427448625,4138.559427448625,31,925.513815198465,32,1,true,true
LLAMA-65B,KVChime-CB-musique-0075,F1,592.823287268562,29.855284361240805,1518.3371024670269,4138.559427448625,31,925.513815198465,32,1,true,true
LLAMA-65B,KVChime-CB-musique-0075,F2,592.823287268562,18.120748232419864,1154.5664824735777,4138.559427448625,31,561.7431952050158,32,1,true,true
LLAMA-65B,KVChime-CB-musique-0075,F4,592.1936808106245,18.29270889700051,1159.2676566176403,4138.559427448625,31,567.0739758070158,32,1,true,true
OPT-66B,KVChime-CB-musique-0075,F0,3164.028007609768,29.06049647642019,4064.903398378794,4064.903398378794,31,900.8753907690259,32,1,true,true
OPT-66B,KVChime-CB-musique-0075,F1,586.5661797713655,29.06049647642019,1487.4415705403912,4064.903398378794,31,900.8753907690259,32,1,true,true
OPT-66B,KVChime-CB-musique-0075,F2,586.5661797713655,19.68079983010174,1196.6709745045196,4064.903398378794,31,610.104794733154,32,1,true,true
OPT-66B,KVChime-CB-musique-0075,F4,586.9068987193207,19.8209074147684,1201.3550285771412,4064.903398378794,31,614.4481298578204,32,1,true,true
MT-76B,KVChime-CB-musique-0075,F0,2884.671337966952,26.521774172105026,3706.8463373022078,3706.8463373022078,31,822.1749993352558,32,1,true,true
MT-76B,KVChime-CB-musique-0075,F1,540.1263428041302,26.521774172105026,1362.3013421393862,3706.8463373022078,31,822.1749993352558,32,1,true,true
MT-76B,KVChime-CB-musique-0075,F2,540.1263428041302,17.724590320835386,1089.5886427500272,3706.8463373022078,31,549.4622999458969,32,1,true,true
