model,config,rung,makespan_s,energy_nj,kv_mapping,pim_prefill_mode,link_bytes,event_count
LLAMA-33B,pipeline_k8,A4b,15.764083523219716,2522344146336.5713,master-diff,gpu,18316248768,2415846
LLAMA-33B,pipeline_k8,A5,15.66835964751268,2535153409143.0444,master-diff,pim,6996788928,2611146
LLAMA-33B,pipeline_k8,A6,15.66835964751268,2535153409143.0444,master-diff,dynamic,6996788928,2611146
LLAMA-65B,pipeline_k8,A3b,16.878071803925938,4801505932285.241,naive,gpu,7514359488,3369286
LLAMA-65B,pipeline_k8,A4b,16.87115690271992,4801422300097.099,master-diff,gpu,7514359488,3221126
LLAMA-65B,pipeline_k8,A5,16.748841056026794,4797649300092.807,master-diff,pim,2870478528,3481526
LLAMA-65B,pipeline_k8,A6,16.748841056026794,4797649300092.807,master-diff,dynamic,2870478528,3481526
LLAMA-7B,pipeline_k8,A3b,6.766392529813609,579220063048.7839,naive,gpu,12022974144,1691782
LLAMA-7B,pipeline_k8,A4b,6.810275449976938,579094419480.477,master-diff,gpu,12022974144,1288454
LLAMA-7B,pipeline_k8,A5,6.838965287984565,587901758400.6697,master-diff,pim,4592764608,1392614
LLAMA-7B,pipeline_k8,A6,6.810275449976938,579094419480.477,master-diff,dynamic,12022974144,1288454
LLAMA3-8B,pipeline_k8,A3b,7.738167826629171,675787042580.2975,naive,gpu,12022974144,1495174
LLAMA3-8B,pipeline_k8,A4b,7.7864168679955705,675650185933.5643,master-diff,gpu,12022974144,1288454
LLAMA3-8B,pipeline_k8,A5,7.475774786879281,610790545125.8834,master-diff,pim,4592764608,1554182
LLAMA3-8B,pipeline_k8,A6,7.451077303129848,602983204754.196,master-diff,dynamic,12022974144,1288454
GPT-13B,private_k8,A3b,30.46204056811843,4160438987133.0747,naive,gpu,124323447296,9510592
GPT-13B,private_k8,A4b,30.539579052043592,4160121082008.6406,master-diff,gpu,124323447296,9299752
LLAMA-33B,private_k8,A3b,60.89409965725202,9838473980353.137,naive,gpu,242430706176,12301712
LLAMA-33B,private_k8,A4b,60.48375069913927,9838020693813.748,master-diff,gpu,242430706176,14074412
