q,cached,total_kv,gpu_qk_us,gpu_softmax_us,gpu_pv_us,gpu_attention_us,pim_softmax_us,q_input_bytes,q_input_us,output_us,new_kv_bytes,new_kv_transfer_us,cached_kv_readback_us,gpu_new_kv_hidden_us,gpu_new_kv_exposed_us,gpu_service_us,plain_scan_us,plain_first_tile_queries,plain_tiles,plain_kv_overlap_window_us,plain_new_kv_hidden_us,plain_new_kv_exposed_us,plain_service_us,plain_speedup_over_gpu,plain_winner,mq_scan_us,mq_first_tile_queries,mq_tiles,mq_kv_overlap_window_us,mq_new_kv_hidden_us,mq_new_kv_exposed_us,mq_service_us,mq_speedup_over_gpu,mq_winner,data_source
1,512,513,5.0266320370630355,0.077781833497122,5.0266320370630355,10.131045907623193,0.02448687350835322,8192,0.027306666666666667,0.027306666666666667,16384,0.05461333333333333,27.962026666666667,0.05461333333333333,0,38.09307257428986,0.80745,1,1,0.379886,0.05461333333333333,0,0.8865502068416866,42.96775555441524,PIM,0.80745,1,1,0.379886,0.05461333333333333,0,0.8865502068416866,42.96775555441524,PIM,original sweep
2,512,514,5.085082128316721,0.15586691000982733,5.085082128316721,10.326031166643268,0.04906921241050119,16384,0.05461333333333333,0.05461333333333333,32768,0.10922666666666667,27.962026666666667,0.10922666666666667,0,38.288057833309935,1.6149,1,2,0.379886,0.10922666666666667,0,1.773195879077168,21.592683744131165,PIM,0.991241,2,1,0.452172,0.10922666666666667,0,1.149536879077168,33.30737667507201,PIM,original sweep
4,512,516,5.202437175347467,0.31294679208198795,5.202437175347467,10.717821142776922,0.09852028639618139,32768,0.10922666666666667,0.10922666666666667,65536,0.21845333333333333,27.962026666666667,0.21845333333333333,0,38.67984780944359,3.2298,1,4,0.379886,0.21845333333333333,0,3.546773619729515,10.905643256812482,PIM,1.1850289999999999,4,1,0.5013880000000001,0.21845333333333333,0,1.5020026197295144,25.752183985144566,PIM,original sweep
8,512,520,5.438966727502457,0.630745472413309,5.438966727502457,11.508678927418224,0.19856801909307875,65536,0.21845333333333333,0.21845333333333333,131072,0.43690666666666667,27.962026666666667,0.43690666666666667,0,39.47070559408489,6.459600000000001,1,8,0.379886,0.379886,0.057020666666666664,7.1520953524264135,5.518761097150934,PIM,1.698721,8,1,0.647498,0.43690666666666667,0,2.3341956857597452,16.90976717799809,PIM,original sweep
16,512,528,5.9193036641864385,1.2808984978239506,5.9193036641864385,13.119505826196828,0.4032458233890215,131072,0.43690666666666667,0.43690666666666667,262144,0.8738133333333333,27.962026666666667,0.8738133333333333,0,41.081532492863495,12.919199999999996,1,16,0.379886,0.379886,0.49392733333333333,14.690186490055686,2.7965289971419396,PIM,3.397442,8,2,0.647498,0.647498,0.2263153333333333,4.900816490055687,8.382589426929693,PIM,original sweep
32,512,544,6.909088867050401,2.6394272076372314,6.909088867050401,16.457604941738033,0.8309307875894988,262144,0.8738133333333333,0.8738133333333333,524288,1.7476266666666667,27.962026666666667,1.7476266666666667,0,44.4196316084047,26.428991999999997,1,32,0.379886,0.379886,1.3677406666666667,30.37529012092283,1.462360735702339,PIM,6.850252,8,4,0.647498,0.647498,1.1001286666666665,10.528938120922831,4.218814005577179,PIM,original sweep
48,512,560,7.937689175909028,4.075586129439843,7.937689175909028,19.9509644812579,1.283054892601432,393216,1.3107199999999999,1.3107199999999999,786432,2.6214399999999998,27.962026666666667,2.6214399999999998,0,47.912991147924565,40.52937599999997,1,48,0.379886,0.379886,2.241554,46.67542489260141,1.0265143007947062,PIM,10.35843,8,6,0.647498,0.647498,1.9739419999999996,16.236866892601434,2.9508766355507183,PIM,original sweep
64,512,576,9.00510459076232,5.589375263231784,9.00510459076232,23.599584444756424,1.7596181384248208,524288,1.7476266666666667,1.7476266666666667,1048576,3.4952533333333333,27.962026666666667,3.4952533333333333,0,51.56161111142309,55.22035199999995,1,64,0.379886,0.379886,3.1153673333333334,63.59059080509144,0.8108371137714727,GPU,13.897368,8,8,0.647498,0.647498,2.847755333333333,21.999994805091486,2.3437101493992225,PIM,original sweep
96,512,608,11.256380738452899,8.849844166783658,11.256380738452899,31.362605643689456,2.7860620525059665,786432,2.6214399999999998,2.6214399999999998,1572864,5.2428799999999995,27.962026666666667,5.2428799999999995,0,59.32463231035612,86.37408000000009,1,96,0.379886,0.379886,4.862994,99.26601605250605,0.597632852304426,GPU,21.141348000000004,8,12,0.647498,0.647498,4.595382,33.76567205250597,1.7569510305645837,PIM,original sweep
128,512,640,13.662917310122142,12.420833918292855,13.662917310122142,39.746668538537136,3.910262529832935,1048576,3.4952533333333333,3.4952533333333333,2097152,6.990506666666667,27.962026666666667,6.990506666666667,0,67.70869520520381,119.89017600000034,1,128,0.379886,0.379886,6.610620666666667,137.4015658631666,0.49277964759610177,GPU,28.975919999999988,8,16,0.647498,0.647498,6.343008666666667,46.21969786316625,1.464931584054398,PIM,original sweep
192,512,704,18.941771725396602,20.49437596518321,18.941771725396602,58.37791941597642,6.451933174224344,1572864,5.2428799999999995,5.2428799999999995,3145728,10.485759999999999,27.962026666666667,10.485759999999999,0,86.33994608264308,194.0094720000002,1,192,0.379886,0.379886,10.105873999999998,221.05303917422452,0.3905847501811257,GPU,45.75242400000001,8,24,0.647498,0.647498,9.838261999999999,72.52837917422436,1.190429829891017,PIM,original sweep
256,512,768,24.84166783658571,29.810001403902852,24.84166783658571,79.49333707707427,9.384630071599044,2097152,6.990506666666667,6.990506666666667,4194304,13.981013333333333,27.962026666666667,13.981013333333333,0,107.45536374374095,277.5782400000012,1,256,0.379886,0.379886,13.601127333333332,314.54501073826685,0.34162158061745457,GPU,64.84207999999995,8,32,0.647498,0.647498,13.333515333333333,101.54123873826566,1.0582435774761387,PIM,original sweep
384,512,896,38.50458514670785,52.16750245682999,38.50458514670785,129.1766727502457,16.42310262529833,3145728,10.485759999999999,10.485759999999999,6291456,20.971519999999998,27.962026666666667,20.971519999999998,0,157.13869941691237,501.4126080000018,1,384,0.379886,0.379886,20.591634,559.3988646253002,0.2809063610133852,GPU,114.0949920000001,8,48,0.647498,0.647498,20.324022,171.81363662529841,0.9145880530985441,GPU,original sweep
