model,workload_id,variant,TTFT_ms,TBT_ms,E2E_ms,simultaneous_peak_KV_GiB,output_tokens,batch,source_sha256
LLAMA-65B,KVChime-CB-musique-0075,F2,592.823287268562,18.120748232419864,1154.566482473578,39.70953369140625,32,1,db23b2cd126c8f2f80e83b5173a65152bdff3c3239694ff70f9d9d49df12edcc
LLAMA-65B,KVChime-CB-musique-0075,F4,592.1936808106245,18.29270889700051,1159.2676566176403,23.6634521484375,32,1,db23b2cd126c8f2f80e83b5173a65152bdff3c3239694ff70f9d9d49df12edcc
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,40565.77095979213,67.6398020447632,41580.36799046358,156.4892578125,16,2,d7b39d9f363d696acbd78aedc99db4f8c434b7c277a3601857ad999289d2445e
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,400.8834372419852,67.6398020447632,1415.4804679134331,234.7265625,16,2,d7b39d9f363d696acbd78aedc99db4f8c434b7c277a3601857ad999289d2445e
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,400.8834372419852,21.36182325610747,721.3107860835972,236.6085205078125,16,2,d7b39d9f363d696acbd78aedc99db4f8c434b7c277a3601857ad999289d2445e
LLAMA-65B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,400.8834372419852,22.109926162774144,732.5323296835974,81.1104736328125,16,2,d7b39d9f363d696acbd78aedc99db4f8c434b7c277a3601857ad999289d2445e
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F0,9967.667712119628,42.063362979800374,10598.618156816634,38.68896484375,16,1,7bbe20151794d44dfd067c012058f88b86334d8b7f3b5fee5e77bb4081a88993
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F1,145.25058856488275,42.063362979800374,776.2010332618885,77.14599609375,16,1,7bbe20151794d44dfd067c012058f88b86334d8b7f3b5fee5e77bb4081a88993
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F2,145.25058856488275,19.08834603274773,431.5757790560987,77.592529296875,16,1,7bbe20151794d44dfd067c012058f88b86334d8b7f3b5fee5e77bb4081a88993
LLAMA-65B,KVChime-LongMemEval-oracle-d851d5ba,F4,98.8029445036351,19.13680974474773,385.8550906748511,38.845245361328125,16,1,7bbe20151794d44dfd067c012058f88b86334d8b7f3b5fee5e77bb4081a88993
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F0,3150.6597639312495,28.979761055951307,3585.3561797705192,17.668212890625,16,1,f57aa3a7e76c1d02c49852747d4a2f9a388e79b4eabd80c1a0531c0eb01536eb
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F1,61.474543560514526,28.979761055951307,496.1709593997842,35.303466796875,16,1,f57aa3a7e76c1d02c49852747d4a2f9a388e79b4eabd80c1a0531c0eb01536eb
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F2,63.43884768028429,19.675398831592357,358.56983015416967,35.546058654785156,16,1,f57aa3a7e76c1d02c49852747d4a2f9a388e79b4eabd80c1a0531c0eb01536eb
OPT-66B,KVChime-EPIC-chunk2048-target8000-B1-N8026,F4,34.359468151781506,19.69889798892569,329.84293798566694,17.79568862915039,16,1,f57aa3a7e76c1d02c49852747d4a2f9a388e79b4eabd80c1a0531c0eb01536eb
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F0,7781.071816500439,30.36557553926217,8236.555449589372,70.6904296875,16,4,3c432535064c94194413efec3c9083364652c6cfc4600316d337b8c99c54c6b4
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F1,157.76153366833566,30.36557553926217,613.2451667572683,88.4091796875,16,4,3c432535064c94194413efec3c9083364652c6cfc4600316d337b8c99c54c6b4
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F2,222.54701434746525,21.917518639678963,551.3097939426498,89.37982177734375,16,4,3c432535064c94194413efec3c9083364652c6cfc4600316d337b8c99c54c6b4
OPT-66B,KVChime-EPIC-chunk2048-target8000-B4-N8028,F4,106.84785118957187,21.4165761202123,428.0964929927564,18.378067016601562,16,4,3c432535064c94194413efec3c9083364652c6cfc4600316d337b8c99c54c6b4
OPT-66B,KVChime-CB-musique-0075,F0,3164.028007609768,29.06049647642019,4064.9033983787936,17.826416015625,32,1,de6907cb45632d926310f3d820ac48bc1899fed9f3eca4d14b4bf4335772c672
OPT-66B,KVChime-CB-musique-0075,F1,586.5661797713655,29.06049647642019,1487.4415705403915,35.584716796875,32,1,de6907cb45632d926310f3d820ac48bc1899fed9f3eca4d14b4bf4335772c672
OPT-66B,KVChime-CB-musique-0075,F2,586.5661797713655,19.68079983010174,1196.6709745045193,35.79407501220703,32,1,de6907cb45632d926310f3d820ac48bc1899fed9f3eca4d14b4bf4335772c672
OPT-66B,KVChime-CB-musique-0075,F4,586.9068987193207,19.8209074147684,1201.355028577141,21.445175170898438,32,1,de6907cb45632d926310f3d820ac48bc1899fed9f3eca4d14b4bf4335772c672
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F0,36988.95824700706,227.63410958401266,40403.46989076725,143.04096221923828,16,2,2cff87e28a1863de6b9db0e448a9d5bcc4a881d64bed874fbd800f31fcabe175
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F1,413.657716998311,227.63410958401266,3828.169360758501,213.45453643798828,16,2,2cff87e28a1863de6b9db0e448a9d5bcc4a881d64bed874fbd800f31fcabe175
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F2,413.657716998311,22.67704616078897,753.8134094101456,213.38758850097656,16,2,2cff87e28a1863de6b9db0e448a9d5bcc4a881d64bed874fbd800f31fcabe175
OPT-66B,KVChime-EPIC-chunk2048-target32000-B2-N32034,F4,383.87447249056265,23.283392806122304,733.1253645823973,71.30573272705078,16,2,2cff87e28a1863de6b9db0e448a9d5bcc4a881d64bed874fbd800f31fcabe175
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F0,9098.805951333426,38.82695937126788,9681.210341902444,34.820068359375,16,1,39895559bcbd5f18930566468553281cc8f1521142402e40586898d7f62d65c9
OPT-66B,KVChime-LongMemEval-oracle-d851d5ba,F1,139.28876000408664,38.82695937126788,721.6931505731048,69.431396484375,16,1,39895559bcbd5f18930566468553281cc8f1521142402e40586898d7f62d65c9
