model,config,k,rung,tier,start_s,end_s,duration_s,requests,prefill_end_s,first_token_s,prefill_s,decode_s
GPT-13B,k-hi,32,A1,0,0.0,23.390383491906423,23.390383491906423,16,16.22867144261446,16.256619196306847,16.22867144261446,7.161712049291964
GPT-13B,k-hi,32,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16,52.63568794830308,52.67119527956725,29.245304456396656,9.096963907668396
GPT-13B,k-hi,32,A2,0,0.0,80.85760113292208,80.85760113292208,16,80.85760113292208,2.2686072601850413,80.85760113292208,0.0
GPT-13B,k-hi,32,A2,1,80.85760113292208,202.21418190122884,121.35658076830676,16,202.21418190122884,0.0,121.35658076830676,0.0
GPT-13B,k-hi,32,A3,0,0.0,8.917608476483379,8.917608476483379,16,1.8722822523303029,1.8997729938437982,1.8722822523303029,7.045326224153076
GPT-13B,k-hi,32,A3,1,8.917608476483379,26.934454861398045,18.016846384914665,16,15.274954738086874,15.320232859039336,6.357346261603496,11.65950012331117
GPT-13B,k-hi,32,A3a,0,0.0,8.917608476483379,8.917608476483379,16,1.8722822523303029,1.8997729938437982,1.8722822523303029,7.045326224153076
GPT-13B,k-hi,32,A3a,1,8.917608476483379,25.012315264642204,16.094706788158824,16,15.274954738086874,15.312963598718179,6.357346261603496,9.73736052655533
GPT-13B,k-hi,32,A3b,0,0.0,8.771346045684405,8.771346045684405,16,1.8722822523303029,1.8992016557243343,1.8722822523303029,6.899063793354102
GPT-13B,k-hi,32,A3b,1,8.771346045684405,26.415606662029962,17.644260616345555,16,15.128692307287901,15.172516030157862,6.357346261603496,11.286914354742061
GPT-13B,k-hi,32,A4,0,0.0,8.847511079383152,8.847511079383152,16,1.8654178009413453,1.8926623251753478,1.8654178009413453,6.982093278441806
GPT-13B,k-hi,32,A4,1,8.847511079383152,24.63564972349263,15.788138644109479,16,15.19569771032502,15.23254562141968,6.348186630941868,9.439952013167611
GPT-13B,k-hi,32,A4b,0,0.0,8.805241531835525,8.805241531835525,16,1.8654178009413453,1.8924972097554333,1.8654178009413453,6.93982373089418
GPT-13B,k-hi,32,A4b,1,8.805241531835525,24.65426845574947,15.849026923913945,16,15.153428162777393,15.190513918710918,6.348186630941868,9.500840292972077
GPT-13B,k-hi,32,A5,0,0.0,5.6975789508081105,5.6975789508081105,16,1.6200947833207098,1.6359931782148458,1.6200947833207098,4.077484167487401
GPT-13B,k-hi,32,A5,1,5.6975789508081105,22.034884174084112,16.337305223276,16,16.05050739426191,16.07385696460596,10.352928443453798,5.9843767798222025
GPT-13B,k-hi,32,A6,0,0.0,5.6975789508081105,5.6975789508081105,16,1.6200947833207098,1.6359931782148458,1.6200947833207098,4.077484167487401
GPT-13B,k-hi,32,A6,1,5.6975789508081105,22.034884174084112,16.337305223276,16,16.05050739426191,16.07385696460596,10.352928443453798,5.9843767798222025
GPT-13B,k-lo,2,A1,0,0.0,23.390383491906423,23.390383491906423,16,16.22867144261446,16.256619196306847,16.22867144261446,7.161712049291964
GPT-13B,k-lo,2,A1,1,23.390383491906423,61.732651855971476,38.34226836406505,16,52.63568794830308,52.67119527956725,29.245304456396656,9.096963907668396
GPT-13B,k-lo,2,A2,0,0.0,80.85760113292208,80.85760113292208,16,80.85760113292208,2.2686072601850413,80.85760113292208,0.0
GPT-13B,k-lo,2,A2,1,80.85760113292208,197.661893201183,116.80429206826092,16,197.661893201183,0.0,116.80429206826092,0.0
GPT-13B,k-lo,2,A3,0,0.0,8.917611036483263,8.917611036483263,16,1.8722822523303029,1.899773003843798,1.8722822523303029,7.045328784152961
GPT-13B,k-lo,2,A3,1,8.917611036483263,20.393720734873074,11.476109698389811,16,10.709704758044138,10.747340838156523,1.7920937215608745,9.684015976828936
GPT-13B,k-lo,2,A3a,0,0.0,8.917611036483263,8.917611036483263,16,1.8722822523303029,1.899773003843798,1.8722822523303029,7.045328784152961
GPT-13B,k-lo,2,A3a,1,8.917611036483263,19.806408109017493,10.88879707253423,16,10.709704758044138,10.745185794916255,1.7920937215608745,9.096703350973355
GPT-13B,k-lo,2,A3b,0,0.0,8.771348605684283,8.771348605684283,16,1.8722822523303029,1.8992016657243342,1.8722822523303029,6.89906635335398
GPT-13B,k-lo,2,A3b,1,8.771348605684283,20.03216564129539,11.260817035611106,16,10.563442327245157,10.600243392640616,1.7920937215608745,9.468723314050232
GPT-13B,k-lo,2,A4,0,0.0,8.847511079383152,8.847511079383152,16,1.8654178009413453,1.8926623251753478,1.8654178009413453,6.982093278441806
GPT-13B,k-lo,2,A4,1,8.847511079383152,19.50853175585121,10.661020676468057,16,10.629482593989804,10.664139478324898,1.7819715146066528,8.879049161861404
GPT-13B,k-lo,2,A4b,0,0.0,8.805241531835525,8.805241531835525,16,1.8654178009413453,1.8924972097554333,1.8654178009413453,6.93982373089418
GPT-13B,k-lo,2,A4b,1,8.805241531835525,19.52715048751105,10.721908955675525,16,10.587213046442178,10.622107775616136,1.7819715146066528,8.939937441068873
GPT-13B,k-lo,2,A5,0,0.0,5.6975789508081105,5.6975789508081105,16,1.6200947833207098,1.6359931782148458,1.6200947833207098,4.077484167487401
GPT-13B,k-lo,2,A5,1,5.6975789508081105,13.37080930700183,7.673230356193719,16,7.9473353802129685,7.968493923784774,2.249756429404858,5.423473926788861
GPT-13B,k-lo,2,A6,0,0.0,5.6975789508081105,5.6975789508081105,16,1.6200947833207098,1.6359931782148458,1.6200947833207098,4.077484167487401
GPT-13B,k-lo,2,A6,1,5.6975789508081105,13.37080930700183,7.673230356193719,16,7.9473353802129685,7.968493923784774,2.249756429404858,5.423473926788861
GPT-13B,pipeline,8,A1,0,0.0,2.766064816731635,2.766064816731635,1,1.01475515895206,1.0215944820528358,1.01475515895206,1.7513096577795748
GPT-13B,pipeline,8,A1,1,2.766064816731635,5.558047326612695,2.7919825098810604,1,3.799178091211697,3.8060469439122957,1.033113274480062,1.7588692354009985
GPT-13B,pipeline,8,A1,2,5.558047326612695,8.372564572480812,2.8145172458681165,1,6.606135759504758,6.613034141805526,1.0480884328920625,1.766428812976054
GPT-13B,pipeline,8,A1,3,8.372564572480812,11.214326496266922,2.8417619237861107,1,9.440338105762807,9.447266017663212,1.0677735332819953,1.7739883905041154
GPT-13B,pipeline,8,A2,0,0.0,7.811332876761604,7.811332876761604,1,7.811332876761604,1.600997293635773,7.811332876761604,0.0
GPT-13B,pipeline,8,A2,1,7.811332876761604,14.214891320266425,6.403558443504821,1,14.214891320266425,0.0,6.403558443504821,0.0
