model,config,k,rung,tier,start_s,end_s,duration_s,requests
GPT-13B,private,8,A5,1,42.34280514661553,104.52461558153477,62.18181043491924,16
GPT-13B,reduce,8,A1,0,0.0,23.39138666317242,23.39138666317242,16
GPT-13B,reduce,8,A1,1,23.39138666317242,27.08708439592129,3.6956977327488723,1
GPT-13B,reduce,8,A2,0,0.0,80.85760113292208,80.85760113292208,16
GPT-13B,reduce,8,A2,1,80.85760113292208,90.38919601857846,9.531594885656375,1
GPT-13B,reduce,8,A3,0,0.0,8.91764175648347,8.91764175648347,16
GPT-13B,reduce,8,A3,1,8.91764175648347,11.886489420878153,2.9688476643946835,1
GPT-13B,reduce,8,A3a,0,0.0,8.91764175648347,8.91764175648347,16
GPT-13B,reduce,8,A3a,1,8.91764175648347,11.888073142233354,2.970431385749885,1
GPT-13B,reduce,8,A3b,0,0.0,8.771379325684498,8.771379325684498,16
GPT-13B,reduce,8,A3b,1,8.771379325684498,11.708350508372094,2.9369711826875964,1
GPT-13B,reduce,8,A4,0,0.0,8.846948784409301,8.846948784409301,16
GPT-13B,reduce,8,A4,1,8.846948784409301,11.776450151896094,2.929501367486793,1
GPT-13B,reduce,8,A4b,0,0.0,8.804679236862128,8.804679236862128,16
GPT-13B,reduce,8,A4b,1,8.804679236862128,11.733960184815487,2.929280947953359,1
GPT-13B,reduce,8,A5,0,0.0,5.6970163558323295,5.6970163558323295,16
GPT-13B,reduce,8,A5,1,5.6970163558323295,9.235672475490402,3.5386561196580724,1
GPT-13B,reduce,8,A6,0,0.0,5.6970163558323295,5.6970163558323295,16
GPT-13B,reduce,8,A6,1,5.6970163558323295,9.235672475490402,3.5386561196580724,1
GPT-13B,supervisor,8,A1,0,0.0,2.765693000617646,2.765693000617646,1
GPT-13B,supervisor,8,A1,1,2.765693000617646,26.575337721720913,23.80964472110327,16
GPT-13B,supervisor,8,A1,2,26.575337721720913,30.29662562893044,3.7212879072095255,1
GPT-13B,supervisor,8,A1,3,30.29662562893044,54.9001553485873,24.60352971965686,16
GPT-13B,supervisor,8,A2,0,0.0,7.811332876761604,7.811332876761604,1
GPT-13B,supervisor,8,A2,1,7.811332876761604,89.41042749887991,81.59909462211832,16
GPT-13B,supervisor,8,A2,2,89.41042749887991,99.0992642356173,9.688836736737386,1
GPT-13B,supervisor,8,A2,3,99.0992642356173,185.23506087734143,86.13579664172413,16
GPT-13B,supervisor,8,A3,0,0.0,3.2532936786288476,3.2532936786288476,1
GPT-13B,supervisor,8,A3,1,3.2532936786288476,11.051279804312257,7.797986125683409,16
GPT-13B,supervisor,8,A3,2,11.051279804312257,14.05067329771536,2.999393493403103,1
