model,workload,baseline,variant,metric,reduction_percent
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,TBT_ms,-3.1308289294429414e-12
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,E2E_ms,87.46143303280654
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,TTFT_energy_mJ,97.20669405636264
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,TBT_energy_mJ,-3.5149660959632456e-11
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,E2E_energy_mJ,90.93474923119854
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F0,F1,simultaneous_peak_KV_GiB,-49.98136645962732
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,TTFT_ms,-40.358530846251405
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,TBT_ms,43.83446209113549
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,E2E_ms,18.17096916626482
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,TTFT_energy_mJ,-2.0249732896674644
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,TBT_energy_mJ,33.84215309056376
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,E2E_energy_mJ,23.503380889861514
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F1,F2,simultaneous_peak_KV_GiB,-1.95547065888102
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,TTFT_ms,28.75388521304779
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,TBT_ms,-8.138208007148396
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,E2E_ms,11.150561385016488
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,TTFT_energy_mJ,1.9383427795045982
LLAMA-7B,KVChime-EPIC-shared-readers-B2,F2,F3,TBT_energy_mJ,-0.9344351334200862
