device,name,kind,m,n,k,numOp,time_us,energy_J,energy_offchip_pJ,energy_L2_pJ,energy_L1_pJ,energy_reg_pJ,energy_alu_pJ,energy_link_pJ
GPU,ff2,FC,253,10922.666666666666,4096,1,113.89898876565294,0.013009585657173332,2788078168.7466664,655792537.5999999,3651522614.613333,2292103249.92,3622089086.293333,0
GPU,glu,ACT,253,10922.666666666666,1,1,11.728225510644391,0.0005423102361599998,476195061.76,39793459.199999996,21223178.240000002,1119191.04,3979345.92,0
GPU,ff3,FC,253,4096,10922.666666666666,1,111.31037538461538,0.013504273667413332,2788078168.7466664,1155786342.3999999,3646216820.0533333,2292103249.92,3622089086.293333,0
GPU,norm2,NORM,253,4096,1,1,11.485067799522673,0.00020270311424,178573148.16,14922547.2,7958691.84,419696.64,829030.4,0
GPU,score,MATMUL,253,253,128,32,9.762681454443353,0.00043217589535999993,236702428.16,19780147.2,90136330.24,1659113.28,83897876.48,0
GPU,softmax,SOFTMAX,253,253,1,32,9.705141092236419,0.00026764979296000003,235307325.44,19663564.8,10487234.56,553037.76,1638630.4000000001,0
GPU,context,MATMUL,253,128,253,32,9.762681454443353,0.00042908775712,236702428.16,19780147.2,87048192.0,1659113.28,83897876.48,0
GPU,comm_x2g,X2G,253,8192,1,1,13.817173333333333,4.31095808e-05,0,0,0,0,0,43109580.800000004
GPU,qkv,FC,186,12288,4096,1,84.39020307692309,0.011611110113279999,3066093895.68,603625881.6,3049909125.12,1895741521.92,2995739688.96,0
GPU,proj,FC,186,4096,4096,1,28.130067692307694,0.00406060531712,1051205304.3199999,362269900.8,1016636375.04,631913840.64,998579896.32,0
GPU,comm_g2g,G2G,186,4096,1,1,0.0,1.58466048e-05,0,0,0,0,0,15846604.8
GPU,norm1,NORM,186,4096,1,1,10.262895694510737,0.00014902284288000002,131283025.92,10970726.4,5851054.08,308551.68,609484.8,0
GPU,ff1,FC,186,10922.666666666666,4096,1,68.5837840879121,0.010571931538773333,2730279130.453333,781988659.1999999,2711680450.56,1685103575.0400002,2662879723.52,0
GPU,ff2,FC,186,10922.666666666666,4096,1,68.5837840879121,0.010571931538773333,2730279130.453333,781988659.1999999,2711680450.56,1685103575.0400002,2662879723.52,0
GPU,glu,ACT,186,10922.666666666666,1,1,10.817707292410498,0.00039869448192,350088069.12,29255270.4,15602810.88,822804.4800000001,2925527.04,0
GPU,ff3,FC,186,4096,10922.666666666666,1,75.01351384615386,0.010746000397653334,2730279130.453333,959958220.8,2707779747.84,1685103575.0400002,2662879723.52,0
GPU,norm2,NORM,186,4096,1,1,10.262895694510737,0.00014902284288000002,131283025.92,10970726.4,5851054.08,308551.68,609484.8,0
GPU,score,MATMUL,186,8033,128,32,193.02706724694653,0.00925563049792,4680064153.599999,464229888.0,2114211840.0,38728056.96,1958396559.3600001,0
GPU,softmax,SOFTMAX,186,8033,1,32,226.54345640881652,0.00624764839872,5492690350.08,458999193.59999996,244799569.92000002,12909352.32,38249932.800000004,0
GPU,context,MATMUL,186,128,8033,32,193.02706724694653,0.00906021443392,4680064153.599999,391091712.0,1991933952.0,38728056.96,1958396559.3600001,0
PIM,score,MATMUL,186,8033,128,32,507.0309220000002,0.01749449250816,15536095948.800001,0,0,0,1958396559.3600001,0
PIM,softmax,SOFTMAX,186,8033,1,32,71.31923627684965,3.8900181657600004e-05,650248.8576,0,0,0,38249932.800000004,0
GPU,comm_x2g,X2G,7847,8192,1,1,428.5508266666667,0.0013370785792,0,0,0,0,0,1337078579.2
GPU,comm_x2g,X2G,186,8192,1,1,10.15808,3.16932096e-05,0,0,0,0,0,31693209.6
GPU,comm_x2g,X2G,8033,8192,1,1,438.7089066666667,0.0013687717887999999,0,0,0,0,0,1368771788.8
GPU,comm_x2g,X2G,186,4096,1,1,5.07904,1.58466048e-05,0,0,0,0,0,15846604.8
GPU,qkv,FC,783,12288,4096,1,355.25553230769236,0.03861475098624,3627928780.7999997,1751482368.0,12643781836.800001,7980460277.76,12611097722.880001,0
GPU,proj,FC,783,4096,4096,1,118.41851076923078,0.01316017668096,1332122746.8799999,749607321.6,4214593945.6,2660153425.92,4203699240.96,0
GPU,comm_g2g,G2G,783,4096,1,1,0.0,6.67090944e-05,0,0,0,0,0,66709094.400000006
GPU,norm1,NORM,783,4096,1,1,21.152996391408116,0.00062733809664,552659189.76,46183219.199999996,24631050.240000002,1298903.04,2565734.4,0
GPU,ff1,FC,783,10922.666666666666,4096,1,282.00129076207514,0.03456730857471999,3245294441.813333,1776753049.6,11241653971.626665,7093742469.120001,11209864642.56,0
GPU,ff2,FC,783,10922.666666666666,4096,1,282.00129076207514,0.03456730857471999,3245294441.813333,1776753049.6,11241653971.626665,7093742469.120001,11209864642.56,0
GPU,glu,ACT,783,10922.666666666666,1,1,33.30520615384616,0.00167837515776,1473757839.36,123155251.19999999,65682800.64,3463741.4400000004,12315525.120000001,0
GPU,ff3,FC,783,4096,10922.666666666666,1,315.7826953846154,0.034747430338559995,3245294441.813333,1973295513.6,11225233271.466665,7093742469.120001,11209864642.56,0
GPU,norm2,NORM,783,4096,1,1,21.152996391408116,0.00062733809664,552659189.76,46183219.199999996,24631050.240000002,1298903.04,2565734.4,0
GPU,score,MATMUL,783,783,128,32,67.91139692307694,0.00338698965024,1495346088.96,217325721.6,854838558.72,15891266.88,803588014.08,0
GPU,softmax,SOFTMAX,783,783,1,32,92.95747859048154,0.0025635948681600003,2253813258.24,188340940.79999998,100448501.76,5297088.96,15695078.4,0
GPU,context,MATMUL,783,128,783,32,67.91139692307694,0.00326749057056,1495346088.96,140353689.6,812311511.04,15891266.88,803588014.08,0
GPU,comm_x2g,X2G,783,8192,1,1,42.76224,0.0001334181888,0,0,0,0,0,133418188.80000001
GPU,qkv,FC,460,12288,4096,1,208.70695384615385,0.023821093437440002,3323954462.72,944426188.8,7455501189.12,4688393011.200001,7408818585.6,0
GPU,proj,FC,460,4096,4096,1,69.56898461538462,0.008237749370880001,1180135587.84,540042854.4,2485167063.04,1562797670.4,2469606195.2000003,0
GPU,comm_g2g,G2G,460,4096,1,1,0.0,3.9190528e-05,0,0,0,0,0,39190528.0
GPU,norm1,NORM,460,4096,1,1,15.261032362768496,0.0003685511168,324678451.2,27131904.0,14470348.8,763084.8,1507328.0,0
GPU,ff1,FC,460,10922.666666666666,4096,1,169.6158101098901,0.021333349498879998,2966651316.9066663,984901222.3999999,6628719984.639999,4167460454.3999996,6585616520.533333,0
GPU,ff2,FC,460,10922.666666666666,4096,1,169.6158101098901,0.021333349498879998,2966651316.9066663,984901222.3999999,6628719984.639999,4167460454.3999996,6585616520.533333,0
GPU,glu,ACT,460,10922.666666666666,1,1,19.566276923076927,0.0009860186111999996,865809203.1999998,72351743.99999999,38587596.8,2034892.7999999998,7235174.4,0
GPU,ff3,FC,460,4096,10922.666666666666,1,185.5172923076923,0.02176384237568,2966651316.9066663,1425040998.3999999,6619073085.440001,4167460454.3999996,6585616520.533333,0
GPU,norm2,NORM,460,4096,1,1,15.261032362768496,0.0003685511168,324678451.2,27131904.0,14470348.8,763084.8,1507328.0,0
GPU,score,MATMUL,460,460,128,32,24.969029903130707,0.0012539950335999999,605390028.8,68677632.0,297094348.8,5484672.0,277348352.0,0
GPU,softmax,SOFTMAX,460,460,1,32,32.08311104871544,0.000884792704,777875456.0,65003520.0,34668544.0,1828224.0000000002,5416960.0,0
GPU,context,MATMUL,460,128,460,32,24.969029903130707,0.0012221904127999999,605390028.8,50589696.0,283377664.0,5484672.0,277348352.0,0
GPU,comm_x2g,X2G,460,8192,1,1,25.122133333333334,7.8381056e-05,0,0,0,0,0,78381056.0
GPU,qkv,FC,789,12288,4096,1,357.97779692307694,0.03896155963392,3633575362.56,1757498572.8,12821137981.44,8041613230.080001,12707734487.04,0
GPU,proj,FC,789,4096,4096,1,119.32593230769231,0.01327860809728,1334946037.76,753500160.0,4273712660.48,2680537743.36,4235911495.6800003,0
GPU,comm_g2g,G2G,789,4096,1,1,0.0,6.72202752e-05,0,0,0,0,0,67220275.2
GPU,norm1,NORM,789,4096,1,1,21.26244463961814,0.00063214528512,556894126.0799999,46537113.6,24819793.92,1308856.32,2585395.2,0
GPU,ff1,FC,789,10922.666666666666,4096,1,284.1622201932022,0.03487580007082666,3250470475.0933332,1782140108.8,11399324849.493332,7148100648.96,11295763988.48,0
GPU,ff2,FC,789,10922.666666666666,4096,1,284.1622201932022,0.03487580007082666,3250470475.0933332,1782140108.8,11399324849.493332,7148100648.96,11295763988.48,0
GPU,glu,ACT,789,10922.666666666666,1,1,33.56041846153847,0.0016912362700799999,1485051002.8799999,124098969.6,66186117.120000005,3490283.52,12409896.96,0
GPU,ff3,FC,789,4096,10922.666666666666,1,318.20248615384617,0.03506059324074667,3250470475.0933332,1983479808.0,11382778320.213333,7148100648.96,11295763988.48,0
GPU,norm2,NORM,789,4096,1,1,21.26244463961814,0.00063214528512,556894126.0799999,46537113.6,24819793.92,1308856.32,2585395.2,0
GPU,score,MATMUL,789,789,128,32,68.95617230769231,0.0034456341993600002,1515506150.3999999,219718195.2,878323384.32,16135744.32,815950725.12,0
GPU,softmax,SOFTMAX,789,789,1,32,94.38757265197249,0.0026030342102399996,2288486799.36,191238451.2,101993840.64,5378581.44,15936537.6,0
GPU,context,MATMUL,789,128,789,32,68.95617230769231,0.0033196608182400004,1515506150.3999999,142156339.2,829911859.2,16135744.32,815950725.12,0
GPU,comm_x2g,X2G,789,8192,1,1,43.08992,0.0001344405504,0,0,0,0,0,134440550.4
GPU,qkv,FC,774,12288,4096,1,351.1721353846154,0.03828781154304,3619458908.16,1742458060.8,12571021148.16,7888730849.280001,12466142576.64,0
GPU,proj,FC,774,4096,4096,1,117.05737846153846,0.013046954065920002,1327887810.56,743768064.0,4190340382.7200003,2629576949.76,4155380858.88,0
GPU,comm_g2g,G2G,774,4096,1,1,0.0,6.59423232e-05,0,0,0,0,0,65942323.2
GPU,norm1,NORM,774,4096,1,1,20.98882401909308,0.0006201273139200001,546306785.28,45652377.6,24347934.72,1283973.12,2536243.2,0
GPU,ff1,FC,774,10922.666666666666,4096,1,278.75989661538466,0.0342763700224,3237530391.893333,1768672460.8,11176946346.666666,7012205199.360001,11081015623.68,0
GPU,ff2,FC,774,10922.666666666666,4096,1,278.75989661538466,0.0342763700224,3237530391.893333,1768672460.8,11176946346.666666,7012205199.360001,11081015623.68,0
GPU,glu,ACT,774,10922.666666666666,1,1,32.922387692307694,0.0016590834892799998,1456818094.08,121739673.6,64927825.92,3423928.3200000003,12173967.36,0
GPU,ff3,FC,774,4096,10922.666666666666,1,312.15300923076927,0.034449484677119994,3237530391.893333,1958019072.0,11160714390.186665,7012205199.360001,11081015623.68,0
GPU,norm2,NORM,774,4096,1,1,20.98882401909308,0.0006201273139200001,546306785.28,45652377.6,24347934.72,1283973.12,2536243.2,0
GPU,score,MATMUL,774,774,128,32,66.3591876923077,0.00332430300288,1465354137.6,213757747.2,844442173.44,15528049.920000002,785220894.72,0
GPU,softmax,SOFTMAX,774,774,1,32,90.832806401797,0.0025050003494399994,2202299228.16,184036147.2,98152611.84,5176016.640000001,15336345.6,0
GPU,context,MATMUL,774,128,774,32,66.3591876923077,0.0032021828928,1465354137.6,137670451.2,798409359.36,15528049.920000002,785220894.72,0
GPU,comm_x2g,X2G,774,8192,1,1,42.270720000000004,0.0001318846464,0,0,0,0,0,131884646.4
GPU,qkv,FC,779,12288,4096,1,353.44068923076924,0.03846944456704,3624164392.96,1747471564.8,12611443752.960001,7939691642.88,12546673213.44,0
GPU,proj,FC,779,4096,4096,1,117.81356307692307,0.013109855518720001,1330240552.96,747012096.0,4203814584.32,2646563880.96,4182224404.48,0
GPU,comm_g2g,G2G,779,4096,1,1,0.0,6.63683072e-05,0,0,0,0,0,66368307.2
GPU,norm1,NORM,779,4096,1,1,21.08003089260143,0.00062413330432,549835898.88,45947289.6,24505221.12,1292267.52,2552627.2,0
GPU,ff1,FC,779,10922.666666666666,4096,1,280.5606711413237,0.03443800255146666,3241843752.96,1773161676.7999997,11212895027.199997,7057503682.559999,11152598411.946665,0
GPU,ff2,FC,779,10922.666666666666,4096,1,280.5606711413237,0.03443800255146666,3241843752.96,1773161676.7999997,11212895027.199997,7057503682.559999,11152598411.946665,0
GPU,glu,ACT,779,10922.666666666666,1,1,33.135064615384614,0.0016698010828799996,1466229063.6799998,122526105.59999998,65347256.31999999,3446046.7199999997,12252610.56,0
GPU,ff3,FC,779,4096,10922.666666666666,1,314.16950153846153,0.03461501004458666,3241843752.96,1966505983.9999998,11196558213.12,7057503682.559999,11152598411.946665,0
GPU,norm2,NORM,779,4096,1,1,21.08003089260143,0.00062413330432,549835898.88,45947289.6,24505221.12,1292267.52,2552627.2,0
GPU,score,MATMUL,779,779,128,32,67.21931076923077,0.00335906071328,1481979571.2,215736883.2,850216304.64,15729318.72,795398635.52,0
GPU,softmax,SOFTMAX,779,779,1,32,92.01014740979925,0.0025374692310399993,2230844610.56,186421555.2,99424829.44,5243106.24,15535129.6,0
GPU,context,MATMUL,779,128,779,32,67.21931076923077,0.0032383852623999996,1481979571.2,139158067.2,806119669.76,15729318.72,795398635.52,0
GPU,comm_x2g,X2G,779,8192,1,1,42.54378666666666,0.0001327366144,0,0,0,0,0,132736614.4
GPU,qkv,FC,346,12288,4096,1,156.98392615384617,0.01877791735808,3216669409.2799997,830118297.6,5631922667.52,3526486917.1200004,5572720066.56,0
GPU,proj,FC,346,4096,4096,1,52.327975384615385,0.006502948536319999,1126493061.12,466078924.8,1877307555.8400002,1175495639.04,1857573355.52,0
GPU,comm_g2g,G2G,346,4096,1,1,0.0,2.94780928e-05,0,0,0,0,0,29478092.8
GPU,norm1,NORM,346,4096,1,1,13.181515646778042,0.00027721453568000005,244214661.12,20407910.4,10884218.88,573972.48,1133772.8,0
GPU,ff1,FC,346,10922.666666666666,4096,1,127.5805876043956,0.016864331257173334,2868306684.586666,900477747.1999999,5007362839.893333,3134655037.44,4953528948.053333,0
GPU,ff2,FC,346,10922.666666666666,4096,1,127.5805876043956,0.016864331257173334,2868306684.586666,900477747.1999999,5007362839.893333,3134655037.44,4953528948.053333,0
GPU,glu,ACT,346,10922.666666666666,1,1,14.717243076923078,0.0007416574771199998,651239096.3199999,54421094.4,29024583.68,1530593.28,5442109.44,0
GPU,ff3,FC,346,4096,10922.666666666666,1,139.54126769230768,0.01718813676885333,2868306684.586666,1231539404.8,5000106693.973333,3134655037.44,4953528948.053333,0
GPU,norm2,NORM,346,4096,1,1,13.181515646778042,0.00027721453568000005,244214661.12,20407910.4,10884218.88,573972.48,1133772.8,0
