q,gpu_service_us,gpu_throughput_tokens_per_second,source_panels,source_kind
617,433.74740280017426,1422486.9037066014,e,integer-refinement
618,434.590371170891,1422028.7447578725,e,integer-refinement
619,435.4340858615464,1421569.9232072094,e,integer-refinement
620,436.27854687214045,1421110.44525346,e,integer-refinement
621,437.1237542026732,1420650.3170543148,e,integer-refinement
622,437.9697078531446,1420189.5447266013,e,integer-refinement
623,438.8164078235547,1419728.1343465724,e,integer-refinement
624,439.66385411390337,1419266.0919501942,e,integer-refinement
625,440.5120467241908,1418803.4235334296,e,integer-refinement
626,441.36098565441677,1418340.1350525226,e,integer-refinement
627,442.2106709045815,1417876.2324242773,e,integer-refinement
628,443.0611024746848,1417411.7215263376,e,integer-refinement
629,443.9122803647268,1416946.6081974609,e,integer-refinement
630,444.76420457470743,1416480.898237795,e,integer-refinement
631,445.6168751046268,1416014.5974091464,e,integer-refinement
632,446.4702919544848,1415547.7114352523,e,integer-refinement
633,447.3244551242815,1415080.2460020473,e,integer-refinement
634,448.1793646140168,1414612.2067579273,e,integer-refinement
635,449.0350204236907,1414143.5993140147,e,integer-refinement
636,449.89142255330336,1413674.429244417,e,integer-refinement
637,450.7485710028546,1413204.7020864894,e,integer-refinement
638,451.6064657723446,1412734.423341088,e,integer-refinement
639,452.4651068617732,1412263.5984728269,e,integer-refinement
640,453.3244942711405,1411792.2329103309,e,integer-refinement
641,454.1846280004464,1411320.3320464864,e,integer-refinement
642,455.04550804969097,1410847.9012386901,e,integer-refinement
643,455.90713441887425,1410374.9458090959,e,integer-refinement
644,456.7695071079962,1409901.4710448612,e,integer-refinement
645,457.63262611705676,1409427.482198389,e,integer-refinement
646,458.4964914460559,1408952.9844875697,e,integer-refinement
647,459.3611030949939,1408477.98309602,e,integer-refinement
648,460.22646106387043,1408002.4831733224,e,integer-refinement
649,461.09256535268565,1407526.489835258,e,integer-refinement
650,461.9594159614395,1407050.008164043,e,integer-refinement
651,462.82701289013204,1406573.043208559,e,integer-refinement
652,463.69535613876326,1406095.5999845848,e,integer-refinement
653,464.5644457073331,1405617.6834750238,e,integer-refinement
654,465.4342815958416,1405139.2986301316,e,integer-refinement
655,466.3048638042888,1404660.4503677401,e,integer-refinement
656,467.1761923326746,1404181.143573482,e,integer-refinement
657,468.0482671809991,1403701.383101011,e,integer-refinement
658,468.9210883492623,1403221.1737722228,e,integer-refinement
659,469.7946558374641,1402740.5203774725,e,integer-refinement
660,470.66896964560465,1402259.4276757913,e,integer-refinement
661,471.5440297736837,1401777.9003951026,e,integer-refinement
662,472.4198362217015,1401295.9432324315,e,integer-refinement
663,473.296388989658,1400813.560854121,e,integer-refinement
664,474.17368807755304,1400330.7578960394,e,integer-refinement
665,475.0517334853869,1399847.5389637877,e,integer-refinement
666,475.93052521315934,1399363.9086329092,e,integer-refinement
667,476.8100632608704,1398879.8714490924,e,integer-refinement
668,477.69034762852016,1398395.4319283748,e,integer-refinement
669,478.57137831610856,1397910.5945573463,e,integer-refinement
670,479.4531553236357,1397425.3637933475,e,integer-refinement
671,480.33567865110143,1396939.7440646717,e,integer-refinement
672,481.21894829850584,1396453.7397707591,e,integer-refinement
673,482.1029642658488,1395967.355282395,e,integer-refinement
674,482.9877265531306,1395480.5949419034,e,integer-refinement
675,483.873235160351,1394993.4630633402,e,integer-refinement
676,484.75949008750996,1394505.963932685,e,integer-refinement
677,485.64649133460773,1394018.1018080304,e,integer-refinement
678,486.5342389016441,1393529.880919772,e,integer-refinement
679,487.42273278861904,1393041.3054707942,e,integer-refinement
680,488.3119729955327,1392552.3796366567,e,integer-refinement
681,489.2019595223851,1392063.1075657795,e,integer-refinement
682,490.0926923691761,1391573.4933796243,e,integer-refinement
683,490.9841715359058,1391083.5411728788,e,integer-refinement
684,491.8763970225741,1390593.2550136342,e,integer-refinement
685,492.76936882918113,1390102.6389435658,e,integer-refinement
686,493.66308695572667,1389611.6969781108,e,integer-refinement
687,494.557551402211,1389120.4331066427,e,integer-refinement
688,495.452762168634,1388628.8512926484,e,integer-refinement
689,496.3487192549956,1388136.9554739017,e,integer-refinement
690,497.24542266129595,1387644.749562634,e,integer-refinement
691,498.14287238753485,1387152.2374457063,e,integer-refinement
692,499.0410684337124,1386659.4229847805,e,integer-refinement
693,499.9400107998287,1386166.3100164845,e,integer-refinement
694,500.8396994858836,1385672.9023525834,e,integer-refinement
