panel,source_panel,sample,model,q,cached_tokens,link_GBps,mode,gpu_service_us,pim_service_us,gpu_throughput_tokens_per_us,pim_throughput_tokens_per_us,gpu_throughput_tokens_per_second,pim_throughput_tokens_per_second,pim_over_gpu_throughput,displayed,original_marker,source_kind
B,e,80,LLAMA-7B,577,1024,300,mq,400.64065032120584,427.12981420843306,1.4401933491706382,1.3508773698443641,1440193.3491706382,1350877.3698443642,0.9379833413494735,true,false,integer-refinement
B,e,81,LLAMA-7B,578,1024,300,mq,401.45376589437615,427.7790734216391,1.4397672885501684,1.3511647387909882,1439767.2885501685,1351164.7387909882,0.938460506455594,true,false,integer-refinement
B,e,82,LLAMA-7B,579,1024,300,mq,402.26762778748514,428.128518100239,1.439340279963769,1.3523976458499714,1439340.2799637688,1352397.6458499713,0.9395954971009454,true,false,integer-refinement
B,e,83,LLAMA-7B,580,1024,300,mq,403.08223600053276,428.4811342442325,1.4389123315254047,1.3536185228388664,1438912.3315254047,1353618.5228388663,0.9407234153062559,true,false,integer-refinement
B,e,84,LLAMA-7B,581,1024,300,mq,403.8975905335191,428.85460885362005,1.4384834512940312,1.3547714959927395,1438483.4512940312,1354771.4959927395,0.9418054095610304,true,false,integer-refinement
B,e,85,LLAMA-7B,582,1024,300,mq,404.7136913864441,429.53270292840125,1.438053647274,1.3549608587009345,1438053.6472739999,1354960.8587009346,0.9422185752731982,true,false,integer-refinement
B,e,86,LLAMA-7B,583,1024,300,mq,405.53053855930773,429.9171344685763,1.43762292741546,1.3560752834860852,1437622.9274154599,1356075.2834860852,0.9432760549555369,true,false,integer-refinement
B,e,87,LLAMA-7B,584,1024,300,mq,406.34813205211003,430.6938514741451,1.4371912996147547,1.3559515604904286,1437191.2996147547,1355951.5604904287,0.9434732598603243,true,false,integer-refinement
B,e,88,LLAMA-7B,585,1024,300,mq,407.166471864851,433.26550994510774,1.4367587717148196,1.3502113290165103,1436758.7717148196,1350211.3290165104,0.9397620224061608,true,false,integer-refinement
B,e,89,LLAMA-7B,586,1024,300,mq,407.98555799753063,433.9155328814641,1.4363253515055716,1.350493254087039,1436325.3515055715,1350493.2540870388,0.9402418836870332,true,false,integer-refinement
B,e,90,LLAMA-7B,587,1024,300,mq,408.80539045014893,434.2657412832143,1.4358910467242987,1.3517069024728277,1435891.0467242987,1351706.9024728276,0.9413714958084595,true,false,integer-refinement
B,e,91,LLAMA-7B,588,1024,300,mq,409.62596922270586,434.6191211503583,1.4354558650560447,1.3529087225699372,1435455.8650560447,1352908.7225699371,0.9424941271302099,true,false,integer-refinement
B,e,92,LLAMA-7B,589,1024,300,mq,410.4472943152014,434.99335948289615,1.4350198141339914,1.3540436587358051,1435019.8141339915,1354043.6587358052,0.9435714025683652,true,false,integer-refinement
B,e,93,LLAMA-7B,590,1024,300,mq,411.2693657276357,435.6722172808276,1.4345829015398368,1.354229112157719,1434582.9015398368,1354229.112157719,0.9439880474694988,true,false,integer-refinement
B,e,94,LLAMA-7B,591,1024,300,mq,412.0921834600086,436.057412544153,1.434145134804173,1.3553261176133733,1434145.134804173,1355326.1176133733,0.9450411152414069,true,false,integer-refinement
B,e,95,LLAMA-7B,592,1024,300,mq,412.91574751232025,436.8348932728723,1.4337065214068552,1.3552030964481645,1433706.5214068552,1355203.0964481644,0.9452444250015285,true,false,integer-refinement
B,e,96,LLAMA-7B,593,1024,300,mq,413.74005788457043,440.22245546698485,1.4332670687773756,1.347046232275793,1433267.0687773756,1347046.232275793,0.9398431469055296,true,false,integer-refinement
B,e,97,LLAMA-7B,594,1024,300,mq,414.5651145767593,440.8763181264915,1.432826784295226,1.3473166409214474,1432826.784295226,1347316.6409214474,0.9403206693851419,true,false,integer-refinement
B,e,98,LLAMA-7B,595,1024,300,mq,415.3909175888869,441.2272902513921,1.4323856752902635,1.3485113299791474,1432385.6752902635,1348511.3299791473,0.9414443004017617,true,false,integer-refinement
B,e,99,LLAMA-7B,596,1024,300,mq,416.2174669209531,441.58143384168653,1.431943749043071,1.3496944262690056,1431943.7490430712,1349694.4262690055,0.9425610658037158,true,false,integer-refinement
B,e,100,LLAMA-7B,597,1024,300,mq,417.044762572958,441.95643589737455,1.4315010127853136,1.3508118708302455,1431501.0127853137,1350811.8708302455,0.9436331925479614,true,false,integer-refinement
B,e,101,LLAMA-7B,598,1024,300,mq,417.8728045449015,442.63913341845654,1.4310574737000943,1.3509876440018023,1431057.4737000943,1350987.6440018022,0.9440484878002375,true,false,integer-refinement
B,e,102,LLAMA-7B,599,1024,300,mq,418.70159283678373,443.0250924049323,1.430613138922305,1.352067885700036,1430613.1389223048,1352067.885700036,0.9450967902605469,true,false,integer-refinement
B,e,103,LLAMA-7B,600,1024,300,mq,419.5311274486046,443.7894948568019,1.4301680155389758,1.3519923453654592,1430168.0155389758,1351992.345365459,0.9453381215884238,true,false,integer-refinement
B,e,104,LLAMA-7B,601,1024,300,mq,420.36140838036414,446.38113677406517,1.4297221105896214,1.3463830580820328,1429722.1105896214,1346383.058082033,0.9417096148333193,true,false,integer-refinement
